,rank,countries,scores,GDP,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,suicide_rank,both_sexes
123,129,Armenia,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,"0.028
",138,5.7
124,130,Myanmar,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,"0.178
",102,8.1
125,131,Chad,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,"0.060
",24,15.5
126,132,Democratic Republic of the Congo,4.245,0.069,1.136,0.204,0.312,0.19699999999999998,"0.052
",79,9.7
127,133,India,4.19,0.721,0.747,0.485,0.539,0.172,"0.093
",19,16.5
128,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,"0.099
",93,9.0
129,135,Uganda,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,"0.061
",11,20.0
130,136,Benin,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,"0.067
",22,15.7
131,137,Sudan,4.138999999999999,0.605,1.24,0.312,0.016,0.134,"0.082
",85,9.5
132,138,Ukraine,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,"0.011
",14,18.5
133,139,Togo,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,"0.101
",18,16.6
134,140,Guinea,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,"0.094
",69,10.5
135,141,Lesotho,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,"0.112
",2,28.9
136,142,Angola,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,"0.061
",94,8.9
137,143,Madagascar,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,"0.049
",122,6.9
138,144,Zimbabwe,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,"0.099
",13,19.1
139,145,Afghanistan,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,"0.036
",125,6.4
140,146,Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,"0.092
",56,11.5
141,147,Malawi,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,"0.080
",108,7.8
142,148,Haiti,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,"0.104
",47,12.2
143,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,"0.030
",37,13.4
144,150,Syria,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,"0.144
",176,2.4
145,151,Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,"0.444
",65,11.0
146,152,Yemen,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,"0.064
",78,9.8
147,153,Tanzania,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,"0.097
",81,9.6
148,154,South Sudan,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,"0.106
",130,6.1
149,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,"0.038
",53,11.6
150,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,"0.076
",27,15.0
